,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
ke Kenya,0.0,0.0,0.0,0.0,0,0,0,0,0,0,593,950,1680,1483,2070,2510,2643,802,586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1743,1427.0
pe Peru,0.0,0.0,0.0,0.0,0,0,0,0,0,0,368,0,1412,0,0,0,158,0,377,16.0,193.0,0.0,0.0,,2010.0,2035.0,1112.0,0.0,0,0.0
la Laos,0.0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,51,0,0,0,0,0,97,0.0,2686.0,292.0,437.0,,0.0,0.0,0.0,0.0,0,0.0
zm Zambia,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,834,0,343,0,0,0,4010,0.0,919.0,198.0,0.0,0.0,1352.0,0.0,0.0,0.0,0,0.0
mk North Macedonia,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,350,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,123.0,0.0,0.0,0.0,0,0.0
ao Angola,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,270,0,0,0,0,0,0,0.0,1290.0,547.0,0.0,0.0,0.0,0.0,,743.0,2423,3627.0
jm Jamaica,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,315,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1484,0.0
is Iceland,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,150,483,0,0,0,0,0.0,1688.0,155.0,25.0,2250.0,901.0,,0.0,0.0,1284,1373.0
ge Georgia,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,180,0,0,0,0,,2335.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,1747,4121.0
hn Honduras,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,571,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1409.0,257.0,0,0.0
il Israel,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,3350,3030,4450,492.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
cr Costa Rica,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1180,0,114,2205.0,0.0,0.0,0.0,0.0,1890.0,2520.0,1856.0,,360,0.0
cw Curaçao,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1472,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
ve Venezuela,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6359,4657.0,2616.0,1462.0,1715.0,0.0,799.0,107.0,1105.0,0.0,1946,2246.0
mz Mozambique,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3150.0,1305.0,1817.0,1201.0,2566.0,2598.0,2892.0,2751.0,0.0,0,0.0
by Belarus,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1313.0,0.0,1377.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
cy Cyprus,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,913.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
lv Latvia,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
nz New Zealand,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0,427.0
bi Burundi,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,568.0,1712,1752.0
gm Gambia,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1551.0,0.0,0.0,0.0,0.0,0.0,1001,
do Dominican Republic,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2507.0,143.0,0.0,0.0,0.0,0.0,0,0.0
xk Kosovo,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,811.0,6.0,5232.0,3104.0,4218.0,3463,978.0
ir IR Iran,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1827.0,231.0,0.0,0.0,0.0,0,0.0
tt Trinidad and Tobago,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,984.0,0.0,0.0,0.0,0.0,0,0.0
md Moldova,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0
ca Canada,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2354.0,3618.0,4061.0,2629,6868.0
ec Ecuador,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,744.0,0.0,1617.0,481,2519.0
wls Wales,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3065.0,0,2203.0
gq Equatorial Guinea,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0
mt Malta,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2113,750.0
jo Jordan,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1928,1477.0
uz Uzbekistan,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,809,975.0
ly Libya,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,313.0
